"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: OBÈINE, LETO, SPOL , MERITVE"

" ";" ";"Spol - SKUPAJ"
" ";" ";"4 Stopnja registrirane brezposelnosti"
"Ajdovšèina"
"Križevci"
" ";"2005";10.1
" ";"2006";9.4
" ";"2007";8.6
" ";"2008";7.7
" ";"2009";11.0
" ";"2010";13.5
" ";"2011";12.8
" ";"2012";11.8
" ";"2013";13.4
" ";"2014";13.3
" ";"2015";13.5
" ";"2016";11.8
"Krško"
" ";"2005";11.6
" ";"2006";10.8
" ";"2007";9.9
" ";"2008";8.4
" ";"2009";10.8
" ";"2010";12.7
" ";"2011";13.9
" ";"2012";14.5
" ";"2013";15.7
" ";"2014";15.4
" ";"2015";14.6
" ";"2016";14.0
"Kungota"
" ";"2005";17.2
" ";"2006";16.2
" ";"2007";14.2
" ";"2008";12.8
" ";"2009";15.2
" ";"2010";15.3
" ";"2011";16.1
" ";"2012";15.1
" ";"2013";15.7
" ";"2014";16.3
" ";"2015";15.4
" ";"2016";14.0
"Kuzma"
" ";"2005";27.6
" ";"2006";25.7
" ";"2007";21.7
" ";"2008";18.3
" ";"2009";22.3
" ";"2010";23.7
" ";"2011";23.9
" ";"2012";23.3
" ";"2013";21.8
" ";"2014";22.5
" ";"2015";24.4
" ";"2016";21.5
"Laško"
" ";"2005";11.7
" ";"2006";10.4
" ";"2007";8.1
" ";"2008";7.2
" ";"2009";9.9
" ";"2010";11.3
" ";"2011";11.4
" ";"2012";11.2
" ";"2013";13.1
" ";"2014";13.7
" ";"2015";12.7
" ";"2016";12.6
"Lenart"
" ";"2005";9.3
" ";"2006";7.2
" ";"2007";5.7
" ";"2008";5.5
" ";"2009";7.7
" ";"2010";8.9
" ";"2011";9.6
" ";"2012";9.7
" ";"2013";10.6
" ";"2014";10.9
" ";"2015";9.9
" ";"2016";9.1
"Lendava/Lendva"
" ";"2005";19.4
" ";"2006";18.9
" ";"2007";16.8
" ";"2008";15.7
" ";"2009";18.8
" ";"2010";21.7
" ";"2011";22.0
" ";"2012";22.5
" ";"2013";22.7
" ";"2014";22.3
" ";"2015";23.9
" ";"2016";21.4
"Litija"
" ";"2005";11.9
" ";"2006";10.6
" ";"2007";7.6
" ";"2008";6.5
" ";"2009";8.9
" ";"2010";10.3
" ";"2011";11.7
" ";"2012";12.1
" ";"2013";12.6
" ";"2014";12.6
" ";"2015";11.3
" ";"2016";9.9
"Ljubljana"
" ";"2005";8.7
" ";"2006";8.3
" ";"2007";6.8
" ";"2008";5.8
" ";"2009";7.3
" ";"2010";9.2
" ";"2011";11.0
" ";"2012";11.3
" ";"2013";12.8
" ";"2014";13.2
" ";"2015";12.6
" ";"2016";11.7
"Ljubno"
" ";"2005";14.3
" ";"2006";13.4
" ";"2007";11.2
" ";"2008";9.7
" ";"2009";13.6
" ";"2010";12.6
" ";"2011";11.1
" ";"2012";10.9
" ";"2013";12.0
" ";"2014";11.9
" ";"2015";12.1
" ";"2016";10.9
"Ljutomer"
" ";"2005";13.2
" ";"2006";12.5
" ";"2007";11.1
" ";"2008";10.2
" ";"2009";14.4
" ";"2010";16.1
" ";"2011";15.9
" ";"2012";15.0
" ";"2013";16.2
" ";"2014";15.6
" ";"2015";15.3
" ";"2016";14.2
"Log - Dragomer"
" ";"2005";-
" ";"2006";-
" ";"2007";5.3
" ";"2008";4.2
" ";"2009";5.6
" ";"2010";7.8
" ";"2011";8.2
" ";"2012";8.0
" ";"2013";9.8
" ";"2014";9.7
" ";"2015";9.0
" ";"2016";8.2
"Logatec"
" ";"2005";3.6
" ";"2006";3.1
" ";"2007";2.5
" ";"2008";3.1
" ";"2009";6.5
" ";"2010";8.3
" ";"2011";8.2
" ";"2012";8.0
" ";"2013";10.5
" ";"2014";10.4
" ";"2015";9.7
" ";"2016";8.5
"Loška dolina"
" ";"2005";5.5
" ";"2006";4.9
" ";"2007";4.3
" ";"2008";5.3
" ";"2009";7.2
" ";"2010";7.6
" ";"2011";8.9
" ";"2012";10.4
" ";"2013";14.1
" ";"2014";12.4
" ";"2015";10.5
" ";"2016";9.3
"Loški Potok"
" ";"2005";7.5
" ";"2006";6.7
" ";"2007";5.8
" ";"2008";6.1
" ";"2009";8.2
" ";"2010";8.0
" ";"2011";8.9
" ";"2012";8.9
" ";"2013";11.3
" ";"2014";11.7
" ";"2015";10.5
" ";"2016";10.5
"Lovrenc na Pohorju"
" ";"2005";13.9
" ";"2006";12.9
" ";"2007";11.1
" ";"2008";10.5
" ";"2009";12.3
" ";"2010";13.6
" ";"2011";14.1
" ";"2012";11.6
" ";"2013";13.1
" ";"2014";14.0
" ";"2015";14.4
" ";"2016";13.7
"Luèe"
" ";"2005";14.5
" ";"2006";13.9
" ";"2007";11.1
" ";"2008";9.3
" ";"2009";12.9
" ";"2010";12.5
" ";"2011";13.0
" ";"2012";13.5
" ";"2013";14.0
" ";"2014";13.7
" ";"2015";14.0
" ";"2016";11.3
"Lukovica"
" ";"2005";5.8
" ";"2006";6.0
" ";"2007";4.9
" ";"2008";3.4
" ";"2009";4.6
" ";"2010";6.0
" ";"2011";6.9
" ";"2012";6.3
" ";"2013";7.0
" ";"2014";7.7
" ";"2015";7.3
" ";"2016";6.9
"Majšperk"
" ";"2005";13.1
" ";"2006";11.7
" ";"2007";9.4
" ";"2008";8.0
" ";"2009";10.5
" ";"2010";11.3
" ";"2011";10.3
" ";"2012";10.5
" ";"2013";11.3
" ";"2014";10.8
" ";"2015";9.9
" ";"2016";8.9
"Makole"
" ";"2005";-
" ";"2006";-
" ";"2007";9.6
" ";"2008";9.1
" ";"2009";12.2
" ";"2010";12.9
" ";"2011";12.3
" ";"2012";12.9
" ";"2013";14.0
" ";"2014";12.4
" ";"2015";11.5
" ";"2016";9.6
"Maribor"
" ";"2005";15.7
" ";"2006";14.9
" ";"2007";11.8
" ";"2008";10.3
" ";"2009";13.1
" ";"2010";15.4
" ";"2011";17.4
" ";"2012";17.2
" ";"2013";18.3
" ";"2014";18.1
" ";"2015";17.3
