"Polnoletni obsojenci (znani storilci) po: KAZNIVO DEJANJE, GLAVNA"
"KAZEN, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";"Moški";" ";" ";"Ženske";" ";" "
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";2;-;-;2;-;-;-;-;-
"5.XXI KAZNIVA DEJANJA ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE"
" ";"111 Zaporna kazen (nepogojna)";60;13;12;56;12;11;4;1;1
" ";"112 Zaporna kazen (pogojna)";518;118;103;466;101;85;52;17;18
" ";"12 Denarna kazen";2;1;-;2;1;-;-;-;-
" ";"13 Sodni opomin";2;-;-;-;-;-;2;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";9;2;2;8;2;2;1;-;-
"5.XXII KAZNIVA DEJANJA ZOPER DELOVNO RAZMERJE IN SOCIALNO VARNOST"
" ";"111 Zaporna kazen (nepogojna)";11;1;-;9;1;-;2;-;-
" ";"112 Zaporna kazen (pogojna)";122;7;9;99;5;7;23;2;2
" ";"12 Denarna kazen";12;-;-;10;-;-;2;-;-
" ";"13 Sodni opomin";1;-;-;1;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";1;-;-;1;-;-;-;-;-
"5.XXIII KAZNIVA DEJANJA ZOPER PREMOŽENJE"
" ";"111 Zaporna kazen (nepogojna)";1025;194;85;935;174;81;90;20;4
" ";"112 Zaporna kazen (pogojna)";2691;321;215;2138;247;183;553;74;32
" ";"12 Denarna kazen";117;22;9;99;19;8;18;3;1
" ";"13 Sodni opomin";15;-;-;8;-;-;7;-;-
" ";"14 Kazen opušèena";-;3;-;-;3;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";9;1;1;7;1;1;2;-;-
"7.XXI KAZNIVA DEJANJA ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE"
" ";"111 Zaporna kazen (nepogojna)";-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";-;-;1;-;-;-;-;-;1
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-
"7.XXXII KAZNIVA DEJANJA ZOPER OKOLJE, PROSTOR IN NARAVNE DOBRINE"
" ";"111 Zaporna kazen (nepogojna)";-;-;-;-;-;-;-;-;-
" ";"112 Zaporna kazen (pogojna)";-;-;1;-;-;1;-;-;-
" ";"12 Denarna kazen";-;-;-;-;-;-;-;-;-
" ";"13 Sodni opomin";-;-;-;-;-;-;-;-;-
" ";"14 Kazen opušèena";-;-;-;-;-;-;-;-;-
" ";"16 Varnostni ukrep brez izreka kazni";-;-;-;-;-;-;-;-;-

"KAZNIVO DEJANJE "
"Kazniva dejanja so razvršèena po posameznih kazenskih zakonikih. "
"Èe je na prvem mestu šifra 1. pomeni, da gre za kazniva dejanja po "
"Kazenskem zakoniku KZ-UPB1 (uporabljen do leta 2008), èe je na prvem "
